央视频道,#genre#
CCTV足球,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226984/1.m3u8
CCTV网球,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226978/1.m3u8
CCTV时尚,http://39.134.18.193/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8
CCTV台球,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8
卫视频道,#genre#
浙江卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000007275/bestzb/index.m3u8
浙江卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000032070/wasusyt/index.m3u8
浙江卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000014260/ystenlive/index.m3u8
浙江卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265031/ystenlive/index.m3u8
湖南卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000006692/bestzb/index.m3u8
湖南卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000018044/wasusyt/index.m3u8
湖南卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000032695/ystenlive/index.m3u8
湖南卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265024/ystenlive/index.m3u8
江苏卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000019351/bestzb/index.m3u8
江苏卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000014861/wasusyt/index.m3u8
江苏卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000001828/ystenlive/index.m3u8
江苏卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265030/ystenlive/index.m3u8
北京卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000031556/bestzb/index.m3u8
北京卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000020451/wasusyt/index.m3u8
北京卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000021288/ystenlive/index.m3u8
北京卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265027/ystenlive/index.m3u8
东方卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000014098/bestzb/index.m3u8
东方卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000003639/wasusyt/index.m3u8
东方卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000005866/ystenlive/index.m3u8
东方卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265018/ystenlive/index.m3u8
深圳卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000002116/wasusyt/index.m3u8
深圳卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000009227/ystenlive/index.m3u8
深圳卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000007410/bestzb/index.m3u8
深圳卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265028/ystenlive/index.m3u8
东南卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000010584/bestzb/index.m3u8
东南卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265033/ystenlive/index.m3u8
广东卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000014694/bestzb/index.m3u8
广东卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000031076/wasusyt/index.m3u8
广东卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000014176/ystenlive/index.m3u8
广东卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265034/ystenlive/index.m3u8
辽宁卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000011671/bestzb/index.m3u8
辽宁卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000001945/ystenlive/index.m3u8
辽宁卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265022/ystenlive/index.m3u8
安徽卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000023002/bestzb/index.m3u8
安徽卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000009954/wasusyt/index.m3u8
安徽卫视,http://www.yaozhenguo.top:5000/TVOD/1000000001000030159/ystenlive/index.m3u8
安徽卫视,http://www.yaozhenguo.top:5000/TVOD/1000000005000265025/ystenlive/index.m3u8
天津卫视,http://www.yaozhenguo.top:5000/TVOD/5000000004000006827/bestzb/index.m3u8
天津卫视,http://www.yaozhenguo.top:5000/TVOD/6000000001000009186/wasusyt/index.m3u8
